player_id,player_name,player_nickname,ui_element,input_data,timestamp,input_data_CheckList6,input_data_CheckList3,input_data_CheckList5,input_data_CheckList1,input_data_InputLainnya,input_data_CheckList2,input_data_InputJawaban,input_data_CheckList4,input_data_npcTarget,input_data_chatHistory,input_data_TextBox,input_data_TextBox1,input_data_TextBox3,input_data_TextBox4,input_data_TextBox6,input_data_TextBox5,input_data_TextBox2
10306575664,SirrushRac,SirrushRac,MF_CheckList3,Saya ingin menemukan solusi untuk mengurangi risiko banjir.,2026-06-25T14:14:44.000Z,,,,,,,,,,,,,,,,,
10306575664,SirrushRac,SirrushRac,MF_CheckList4,Saya ingin mengembangkan ide-ide kreatif untuk mengatasi masalah banjir,2026-06-25T14:14:43.000Z,,,,,,,,,,,,,,,,,
10306575664,SirrushRac,SirrushRac,MF_SubmitButton,,2026-06-25T14:01:21.000Z,✓,,,,a,,a,,,,,,,,,,
10306575664,SirrushRac,SirrushRac,MF_InputJawaban,a,2026-06-25T14:01:21.000Z,,,,,,,,,,,,,,,,,
10306575664,SirrushRac,SirrushRac,MF_InputLainnya,a,2026-06-25T14:01:20.000Z,,,,,,,,,,,,,,,,,
10306575664,SirrushRac,SirrushRac,MF_CheckList6,"Saya ingin memahami, menganalisis, dan merancang solusi terhadap banjir",2026-06-25T14:01:17.000Z,,,,,,,,,,,,,,,,,
10306575664,SirrushRac,SirrushRac,MF_SubmitButton,,2026-06-25T14:01:16.000Z,,,,,,,,,,,,,,,,,
10306575664,SirrushRac,SirrushRac,NPC_Chat,,2026-06-25T13:43:59.470Z,,,,,,,,,Kepala Desa Pak Kusnan,,,,,,,,
10306575664,SirrushRac,SirrushRac,AF_TextBox,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2026-06-25T13:43:50.000Z,,,,,,,,,,,,,,,,,
10306575664,SirrushRac,SirrushRac,SF_SubmitButton,,2026-06-25T13:43:43.000Z,,,,,,,,,,,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,,,,,
10306575664,SirrushRac,SirrushRac,SF_TextBox,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2026-06-25T13:43:36.000Z,,,,,,,,,,,,,,,,,
10306575664,SirrushRac,SirrushRac,IF_SubmitButton,,2026-06-25T13:43:28.000Z,,,,,,,,,,,,a,a,a,a,a,a
10306575664,SirrushRac,SirrushRac,IF_TextBox6,a,2026-06-25T13:43:28.000Z,,,,,,,,,,,,,,,,,
10306575664,SirrushRac,SirrushRac,IF_TextBox5,a,2026-06-25T13:43:27.000Z,,,,,,,,,,,,,,,,,
10306575664,SirrushRac,SirrushRac,IF_TextBox4,a,2026-06-25T13:43:27.000Z,,,,,,,,,,,,,,,,,
10306575664,SirrushRac,SirrushRac,IF_TextBox3,a,2026-06-25T13:43:25.000Z,,,,,,,,,,,,,,,,,
10306575664,SirrushRac,SirrushRac,IF_TextBox2,a,2026-06-25T13:43:24.000Z,,,,,,,,,,,,,,,,,
10306575664,SirrushRac,SirrushRac,IF_TextBox1,a,2026-06-25T13:43:23.000Z,,,,,,,,,,,,,,,,,
10306575664,SirrushRac,SirrushRac,PF_SubmitButton,,2026-06-25T13:43:05.000Z,,,,,,,,,,,,perubahan iklim,pembuangan sampah,,,,penggundulan hutan
10306575664,SirrushRac,SirrushRac,PF_TextBox3,pembuangan sampah,2026-06-25T13:43:02.000Z,,,,,,,,,,,,,,,,,
10306575664,SirrushRac,SirrushRac,PF_TextBox2,penggundulan hutan,2026-06-25T13:42:54.000Z,,,,,,,,,,,,,,,,,
10306575664,SirrushRac,SirrushRac,PF_TextBox2,penggundulan hutan,2026-06-25T13:42:47.000Z,,,,,,,,,,,,,,,,,
10306575664,SirrushRac,SirrushRac,PF_TextBox2,penggundu,2026-06-25T13:42:36.000Z,,,,,,,,,,,,,,,,,
10306575664,SirrushRac,SirrushRac,PF_TextBox1,perubahan iklim,2026-06-25T13:42:27.000Z,,,,,,,,,,,,,,,,,
10306575664,SirrushRac,SirrushRac,PF_TextBox1,a,2026-06-25T13:42:07.000Z,,,,,,,,,,,,,,,,,
10306575664,SirrushRac,SirrushRac,MF_SubmitButton,,2026-06-25T13:41:44.000Z,,✓,,,a,,a,✓,,,,,,,,,
10306575664,SirrushRac,SirrushRac,MF_InputJawaban,a,2026-06-25T13:41:44.000Z,,,,,,,,,,,,,,,,,
10306575664,SirrushRac,SirrushRac,MF_InputLainnya,a,2026-06-25T13:41:43.000Z,,,,,,,,,,,,,,,,,
10306575664,SirrushRac,SirrushRac,MF_CheckList3,Saya ingin menemukan solusi untuk mengurangi risiko banjir.,2026-06-25T13:41:36.000Z,,,,,,,,,,,,,,,,,
10306575664,SirrushRac,SirrushRac,MF_CheckList4,Saya ingin mengembangkan ide-ide kreatif untuk mengatasi masalah banjir,2026-06-25T13:41:35.000Z,,,,,,,,,,,,,,,,,
10306575664,SirrushRac,SirrushRac,MF_CheckList5,Saya ingin bekerja sama dengan teman untuk merancang solusi penangan banjir.,2026-06-25T13:41:34.000Z,,,,,,,,,,,,,,,,,
10306575664,SirrushRac,SirrushRac,MF_CheckList5,Saya ingin bekerja sama dengan teman untuk merancang solusi penangan banjir.,2026-06-25T13:41:33.000Z,,,,,,,,,,,,,,,,,
